Date,Pros,Cons,Advice to Management,Rating,Employement_status,Designation,Location,Work_Life_Bal,Culture_Values,Career_Opportunity,Compensation_Benefits,Senior Management
09-Jun-20,"good culture 
carrier
working time
hospitality
food festivals","increment salary
outdoor games
should be 9hours 
every project change interview",,4,Current Employee,Tableau Developer,Chennai,4,4,4,4,3
07-Jun-20,Exposure and learning is very nice,Nothing as of now.good to start as fresher,,5,Current Employee,Clinical Data Manager,Mumbai,4,4,5,5,4
07-Jun-20,"Cab facility, Work Environment, Sufficient training","Nothing to say here, politics is everywhere",,5,Current Employee,Service Delivery Manager,Chennai,4,4,5,4,4
07-Jun-20,As a fresher we can learn a lot in this company.,patience is more important bcoz u wil get work slowly,,5,Current Employee,Program Analyst Trainee,Pune,3,3,4,,
07-Jun-20,"Good learning programmes
Innovative ideas are always welcomed
Smooth onboarding process
Overall nice journey so far","Appraisal, hikes
Nothing much to say",,5,Current Employee,Programmer Analyst,Calcutta,4,5,5,4,4
07-Jun-20,"Good growth opportunities.
Competitive work place",Need to expand their footprints in more locations,,5,Current Employee,Associate,Chennai,,,,,
08-Jun-20,Can grow within the project,Difficult in changing platform if requested,,5,Former Employee,Associate PMO,Hyderābād,5,5,5,5,5
07-Jun-20,Best places to learn and engage,no investment on existing employees,,4,Former Employee,Programmer Analyst,Chennai,3,5,4,3,3
08-Jun-20,Nice working experience and environment,Every company have some pros and cons.,,4,Current Employee,Softwere Engineer,Calcutta,4,4,4,4,4
06-Jun-20,"Flexible work environment, No micromanagement","No proper organization structure, HR is not very responsive",,5,Former Employee,Programmer Analyst,Hyderābād,5,5,5,5,3
06-Jun-20,"Flexible work environment, No micromanagement","No proper organization structure, HR is not very responsive",,5,Former Employee,Programmer Analyst,Hyderābād,5,5,5,5,3
06-Jun-20,Good for career starters and mnc culture.,are like any other service company,,4,Current Employee,Anonymous Employee,,,,,,
05-Jun-20,"friendly and healthy work culture,helpful management .",salaries are not so good.Need to provide give more learning opportunities.,need to consider associates needs.,5,Former Employee,Senior Process Executive,Hyderābād,4,5,3,3,3
01-Jun-20,Good Compensation and decent annual hike,No  I have seen so far in the team I worked,,5,Former Employee,Senior Manager,Chennai,4,5,4,4,4
05-Jun-20,"Good atmosphere, nice place to work, growth opportunities","Hierarchy, groupism, politics, need to be smart with it",,4,Former Employee,Senior Process Executive,,4,3,4,2,3
05-Jun-20,"Flexible working hours,Great work culture",There is nothing to dislike especially in the project I worked for.,,4,Former Employee,Software Quality Assurance Engineer,Hyderābād,4,5,4,4,4
05-Jun-20,Good work life balance. No stress if we complete work on time.,No cons as of now.,,4,Current Employee,Associate,Hyderābād,5,5,4,4,5
05-Jun-20,"good environment, facilities, work culture, food, cafetaria.","salary, pressure, night shifts, pay, breaks, deadlines",,4,Former Employee,Processing Associate,Hyderābād,4,4,4,4,4
05-Jun-20,"On site opportunities, good leadership",Large number of employees so lot of competition,,4,Current Employee,Senior Consultant,Pune,,,,,
04-Jun-20,"Work culture, new technology exposure",Nothing to tell negative about it. My growth was completely great in cognizant,,5,Former Employee,Senior Associate,Pune,5,5,5,5,5
04-Jun-20,great place to work and good project,"too much work pressure, u must be able to work under pressure considering a voice process",,5,Former Employee,Senior Operations Analyst,Chennai,2,5,4,4,5
05-Jun-20,"Work culture, peer group, managers, hikes,","appraisals, people, environment at ODC, promotions",,5,Current Employee,QA Tester,Pune,5,5,5,5,5
05-Jun-20,Very good initiative keep up the good work,Could be even more better,,5,Former Employee,Business Analyst,Coimbatore,1,2,1,2,1
05-Jun-20,Employee Friendly with enormous opportunity,I didn't find any for entry level.,,5,Former Employee,Anonymous Employee,,,,,,
04-Jun-20,"Employee friendly environment, more platforms to be engaged with other than work.
Stress free session like fun friday events. 
Employee survey for each dept will be taken and changes will be done based on the problematic areas.",Associates are not allowed to upskill themselves and move to other domains(IT/Testing) from support/BPO/KPO.,,4,Current Employee,"AWS Solution Architect, Desktop/Windows Administrative",Bangalore,,,,,
04-Jun-20,Flexible Work Hours and weekend off,No hike in payscale since 2019,,4,Current Employee,Programmer Analyst,Chennai,4,4,4,3,3
04-Jun-20,Work balance is better in CTS,Less hike Usually happens CTS,,4,Current Employee,Associate,Coimbatore,5,3,3,3,3
04-Jun-20,Can become efficient. Many opportunities of learning.,Change of bu sometime make things problematic,,4,Current Employee,Associate,Calcutta,4,4,4,3,4
05-Jun-20,"Good work environment, Good Training",Management of the company is not good,,4,Current Employee,Programmer Analyst,,3,3,3,3,
05-Jun-20,Great place to work and career Growth,"Nothing much, No proper office transport",,4,Current Employee,Human Resources Business Partner,Chennai,4,4,5,4,4
03-Jun-20,Good exposure and continuous support to enhance,Minimal Onsite opportunity and keep on rotating the same resources at all times.,should provide Equal opportunity for all,5,Former Employee,EAS SAP Senior Consultant,Chennai,4,5,4,5,4
03-Jun-20,"Work culture,people and facilities are good",1)Too much learning and training,,5,Current Employee,Associate,Pune,5,5,5,5,5
04-Jun-20,Great learning from the project,Moving out of a project sometimes takes a lot of time,,5,Former Employee,Senior Project Manager,,5,5,5,5,5
04-Jun-20,One of the good and best company..,To work in a bangalore will be a good exposure,,5,Current Employee,Medical Coder,Bangalore,5,5,5,5,5
03-Jun-20,"Good place to work
Had opportunity to pick my own career path",Should know more folks to sail along,,4,Current Employee,Senior Solutions Architect,Chennai,3,4,4,3,3
03-Jun-20,Nice work culture. Good to work,DO not see any cons so far,,4,Current Employee,Anonymous Employee,,,,,,
03-Jun-20,"Salary on time, no issues in availing planned leaves","Growth chances are slim, hr sucks",,4,Current Employee,Senior Process Executive,"Gurgaon, Haryana",4,3,4,4,3
03-Jun-20,1.Good work-life balance. 2.All depends on the project you go where you get learnings,"No Pros,Just the quantity in IT companies is too much due to which you have to be extra ordinary to someone recognize your efforts",,4,Former Employee,Software Engineer,Chennai,3,4,4,4,4
03-Jun-20,"Depends on project , a good project help you develop your skills ,communication ,management skills. Friendly environment. People are helpful. Over all a good company.",Nothing much. Try to be any project. So need not worry about layoffs,,4,Current Employee,Associate,Bangalore,4,4,4,3,3
02-Jun-20,Good knowledge learn so.many tools,nothing everything is fine there,,5,Former Employee,Programmer,,,,,,
02-Jun-20,Good knowledge learn so.many tools,nothing everything is fine there,,5,Former Employee,Programmer,,,,,,
02-Jun-20,"All good, not faced any big trouble","less pay, late night work sometimes",,4,Current Employee,IT Network Engineer,Pune,4,4,4,3,4
02-Jun-20,You will have a friendly environment to work and so supportive,"Nothing as of now 
It completely depends on the project you are working for",,4,Current Employee,Programmer Analyst,,5,5,4,3,4
02-Jun-20,Variety of Project switch among,Benefits may vary on vertical and horizontal categorization,,4,Current Employee,Anonymous Employee,,,,,,
01-Jun-20,Great Place to work at,Commute can be painful especially in bangalore,,5,Former Employee,Program Manager,Bangalore,4,4,4,4,4
02-Jun-20,"Good working environment, working culture","No Sabattical, Leave policy, transfer policy",,5,Former Employee,Anonymous Employee,Hyderābād,4,4,4,4,4
01-Jun-20,1. People get an onsite offer soon.,I didn't find anything as of now.,,4,Current Employee,Anonymous Employee,Bangalore,3,4,3,3,2
01-Jun-20,okay experience for starters in career,"nothing really bad, always okay",,4,Current Employee,Software Engineer,Hyderābād,,,,,
01-Jun-20,Work culture and appraisals were good,Recognition for employees can be improved,,4,Former Employee,QA Analyst,Chennai,4,4,4,3,3
01-Jun-20,Decent compensation and good work environment !,You won't be be able to work for the technology you are hired for .,,4,Current Employee,Programmer Analyst,Chennai,3,4,4,3,3
31-May-20,Best place to pursue your carrier,I dint found any cons.,,5,Current Employee,Programmer Analyst,,5,5,5,5,5
01-Jun-20,"&gt; Work Life balance
&gt; Friendly colleagues","No comparable pay 
Process is not clear",,5,Current Employee,Senior Systems Engineer,Coimbatore,5,5,5,3,5
01-Jun-20,"Best in salary, work and work culture","they will take you in any domain if you are on bench,",,5,Current Employee,Programmer Analyst,Bangalore,5,5,3,5,3
31-May-20,"work life balance, Good learning, helpful colleagues",HR is not that efficient,,4,Current Employee,Senior Business Analyst,Bangalore,5,3,3,4,3
31-May-20,let me know the Work time advance.,technical or No Technical work,,4,Former Employee,Software Engineer,Vellore,4,4,4,4,3
31-May-20,Nothing much. Good time is during training.,Worst treatment for freshers. No preference.,,4,Current Employee,Tableau Developer,Bangalore,3,3,4,3,2
01-Jun-20,Very good In hand salary.,Medical Insurance not up to the mark.,,4,Current Employee,Programmer Analyst,Calcutta,3,4,3,4,4
01-Jun-20,"Great work environment
Decent Pay
Positive people 
Decent work life balance",Will not encourage your ambitious goals,,4,Current Employee,Automation Engineer,Chennai,4,4,3,2,3
01-Jun-20,Good Company everything is fine no Cons,Nothing. Everything is fine no cons,,4,Current Employee,Anonymous Employee,,,,,,
30-May-20,Good to work here.. good company,Not Applicable and no cons,,5,Current Employee,SAP Security and GRC Consultant,Hyderābād,5,5,5,5,5
30-May-20,Good to work here.. good company,Not Applicable and no cons,,5,Current Employee,SAP Security and GRC Consultant,Hyderābād,5,5,5,5,5
30-May-20,Learn new technologies through new development work,Does not have much work life balance.,,5,Former Employee,Software Engineer,Kol,2,4,3,3,2
30-May-20,lots of learning for fresher's,"not Employee friendly , not approachable to senior management",,5,Current Employee,Senior Analyst,Hyderābād,,,,,
30-May-20,"Good office culture.
Ample opportunities for improvement, in form of internal learning courses.
If you are into extracurriculars, then Cognizant provides a very good platfoem to showcase your talent.","HR policy is extremely slow and bad.
If you are a lateral entree, HR may put you on hold for 5-6 months after interview clearance only to dump you later.
Onsite opportunities are very limited.
Chennai drive - All the opportunities first fall into the lap of chennaites, if they reject then it might go to other locations.
Promotion might get deferred due to company policies.",,4,Current Employee,Associate,Calcutta,4,3,2,,
31-May-20,Colleagues and clients are too good. A happy place to work in.,Most employees don't get the opportunity to grow in the field they want to,,4,Former Employee,Programmer Analyst,Pune,,,,,
31-May-20,"Good training environment. 
Good manager.
Competitive environment","Less hike,
Less variable, 
ONLY manual testing for fresher",,4,Current Employee,Software Engineer,Bangalore,4,4,3,3,3
29-May-20,good to learn as a fresher,work pressure is heavy and i see no other cons,,5,Former Employee,Senior Process Executive,Hyderābād,,,,,
29-May-20,Good working enviornment. Employess friendly.,No overall cons. Just less salary :p,,5,Current Employee,Programmer Analyst Trainee,Chennai,5,5,5,5,5
29-May-20,"Good Infrastructure
Learning Depends on Project","Salary Hikes
Good on site opportunities depends on project",,4,Former Employee,Associate Project Engineer,Bangalore,4,4,4,4,3
29-May-20,"Wonderful place, decent work life balance",Growth is a bit slow.,,4,Former Employee,Asdociate,Chennai,4,4,5,4,4
29-May-20,best IT service in the service based companies,"nothing much, manager friendly, work efficient, no on-site offers",,4,Former Employee,Senior Software Engineer,Pune,3,3,3,3,3
29-May-20,"Has lot of projects and scope for developers
Can learn new technologies",Promotion and hikes are not easy,,4,Former Employee,Associate,,4,4,4,3,4
29-May-20,Good company job security and more learning options,"It clearly depends from project to project, the internal politics is a con.",Need to structure the organization better,4,Former Employee,Programmer,Chennai,3,5,5,5,2
29-May-20,Able to extract good work from client .,"Hr policies needs improvement, especially employee welfare services.",Stop using one basket for all formula.,4,Current Employee,Senior Business Analyst,Hyderābād,3,3,4,3,3
29-May-20,Nice company to work with.,No cons to mention it.,,4,Former Employee,Programmer Analyst,Pune,3,4,3,3,2
30-May-20,No bond required for job,personal growth rate is minimum,,4,Former Employee,Systems Analyst,Hyderābād,3,3,3,3,3
28-May-20,Good for career / professional growth,individualistic as it goes with other companies,,5,Current Employee,Project Manager,Chennai,,,,,
28-May-20,"Flexible timing, salary, technologies, work life balance",Appraisal cycle is not on time,,5,Current Employee,Senior Associate,,5,5,5,5,3
28-May-20,"Great Culture
Great Work Environment
Supporting Seniors",None. No  experienced while in CTS,None,4,Former Employee,Associate,Bangalore,4,4,4,4,3
28-May-20,Good company to work with,Salary hikes are not much,,4,Current Employee,Associate,Pune,,,,,
28-May-20,Good company to work with,Salary hikes are not much,,4,Current Employee,Associate,Pune,,,,,
28-May-20,1. Cafeteria food is good.,"1. Flexibility depends on projects.
2. If you are on bench, hustle yourself and get project asap as bench duration in 35 days.
3. 9 hours swipe in and out even when on bench",,4,Current Employee,Weblogic Administrator,Bangalore,3,4,4,4,3
28-May-20,"Lots of projects, some projects works with recent technologies","Not good for freshers , manager driven",,4,Former Employee,Associate,Calcutta,3,3,4,4,3
29-May-20,Friendly company and Good working environment.,Nothing as cons. Work life balance is a bit unbalanced,,4,Former Employee,Software Developer,Chennai,3,3,3,3,3
29-May-20,Good Company to work with specially for Ladies who have to manages both work and personal life.,Transport should be improved a bit,,4,Current Employee,Subject Matter Expert,Hyderābād,,,,,
11-Jun-20,Good work life balance .,No hikes or promotions and less bonus,,3,Current Employee,Anonymous Employee,,4,3,3,4,
11-Jun-20,Senior level employs are very supportive,Slow promotion process and annual appraisal hike not that great. Work life balance in most of the projects not up to the mark.,,3,Current Employee,Senior Software Engineer,Calcutta,1,2,2,1,1
27-May-20,Nice work culture to work here.,No as such till now that I found.,,5,Current Employee,Anonymous Employee,Pune,4,5,5,4,4
28-May-20,Good . Work life balance company,Nothing bad till now.. Every thing good,,5,Current Employee,Team Leader,Hyderābād,,,,,
28-May-20,"1. Good learning opportunities.
2. Challenging assignments to prove yourself.",1. No cons to mention,,5,Current Employee,Associate,Bangalore,5,5,5,5,5
27-May-20,"Learnt new things during my time there. 
Management was very supportive of newer ideas.",I didn't see any cons during my stay...,Just be as you are....,4,Former Employee,Senior Software Engineer,Calcutta,2,4,4,3,4
27-May-20,"Work and life balance
Variable pay",Not much Additional perks in company,,4,Current Employee,Senior Associate,Coimbatore,5,3,4,4,5
28-May-20,opportunities to learn and expose yourself based on your interest,Not much salary hikes these years,,4,Former Employee,Associate,Cochin,4,5,4,3,3
28-May-20,Good firm to work with,not a big pay master comparatively,,4,Current Employee,Learning and Development,Hyderābād,,,,,
09-Jun-20,There is a general vision on picking up more and more niche technologies which is commendable,The promotion and career progression is simply invisible. Even with a high appraisal review multiple times I have not been promoted for 5 years,Clients are key but kindly think of the employees as well and have some empathy towards them,3,Current Employee,Associate,Calcutta,4,4,2,2,4
10-Jun-20,you will get to learn different skills,you will not get credits,,3,Current Employee,Process Executive,Hyderābād,4,4,4,4,4
10-Jun-20,"Good work culture in cognizant.good projects
Good work culture in cognizant.good projects","No much hike and not friendly environment.Not much hike
Good work culture in cognizant.good projects",,3,Current Employee,Associé,,3,3,3,3,3
10-Jun-20,"Good Pay
Out of India clients","Work culture
No bench 
Higher managemt don't think about actual team working and prssurise them
Resource cutting every now and then",,3,Current Employee,INFRA TECHNOLOGY SPECIALIST,Pune,2,2,3,4,2
10-Jun-20,"1. Salary Structure
2. New Technologies","1.Growth and Promotion
2. Increment
3. Rating System",,3,Current Employee,Senior Associate,Calcutta,2,2,2,1,2
11-Jun-20,"Cognizant is a service based company, so you cannot expect to do only development in such companies. They have both development and maintenance for the developed projects. In some departments the pressure is high, but in some its very less. You get recognition and appraisal based on your performance and your behaviour towards everyone. You get your salary on time. It never gets late when it comes to salary.","You may get stagnant in the same technology, and growth can be slow. May get a testing job even if you wanted development. At times you may feel the managers are partial, and some politics may be there.",,3,Former Employee,Associate,Bangalore,4,4,3,2,3
11-Jun-20,"Cognizant is a service based company, so you cannot expect to do only development in such companies. They have both development and maintenance for the developed projects.
In some departments the pressure is high, but in some its very less.
You get recognition and appraisal based on your performance and your behaviour towards everyone.
You get your salary on time. It never gets late when it comes to salary.","You may get stagnant in the same technology, and growth can be slow.
May get a testing job even if you wanted development.
At times you may feel the managers are partial, and some politics may be there.",,3,Former Employee,Associate,Bangalore,4,4,3,2,3
26-May-20,Wonderful workspace and huge opportunities to shine yourself,nothing in specific for my role,,5,Current Employee,Program Analyst Trainee,,4,4,4,4,5
26-May-20,"Decent package, good working environment","less increment, guess it depends upon the area you are working in",,5,Current Employee,Programmer/Analyst,Calcutta,4,5,5,4,4
27-May-20,"Good Salary, Good Co-Workers. Good Projects",Mandatory Work hours. Not good hikes for this year.,,5,Current Employee,Senior Associate,Hyderābād,2,2,5,4,2
26-May-20,"1. Perks
2. Good clients and projects(if you get one)","Location change very difficult.
Project change very difficult",,4,Former Employee,Programmer Analyst,Calcutta,4,4,4,4,3
26-May-20,"Work culture, training, fun activities, friendly people and co workers",works at client's location for client's business and there is no much interaction with cognizant management except CTS HR.,nothing much,4,Current Employee,Senior Process Executive,Hyderābād,2,3,3,3,3
26-May-20,"cab support available
good work environment","Career development is slow.
Getting into a good domain and project is your luck",,4,Former Employee,Programmer Analyst Trainee,Bangalore,,,,,
26-May-20,Good place to work as a fresher and experienced,"Management Issues, lack of communication was the major role",,4,Former Employee,Customer Service Specialist,Hyderābād,,,,,
26-May-20,Good management Excellent opportunities Great learning atmosphere Work life balance,Promotions Incentive & pay Slow growth No transport facility,,4,Current Employee,Business Development Analyst,Noida,4,4,4,4,4
26-May-20,latest technologies and all employees are accessible,takes some time to get allocated to projects as freshers,,4,Former Employee,Programmer/Analyst,,,,,,
27-May-20,Employee Friendly organization to work,Compensation need to be improved as compared to other organization,,4,Current Employee,Project Test Manager,Pune,,,,,
27-May-20,Huge learning opportunities. Fair &amp; Transparent. Stable Job!!,Infrastructure &amp; office ambiance is very mediocre.,,4,Current Employee,SDM,Noida,4,4,4,4,4
27-May-20,Job security and hikes are good,Mostly they have support projects,,4,Former Employee,Software Developer,Hyderābād,4,4,3,3,4
09-Jun-20,"1. Job security
2. Healthy Progress","1. Hike is not very much
2. No WFH is allowed",,3,Current Employee,ETL Developer,Pune,3,3,3,3,3
09-Jun-20,Very particular about various aspects of employment and HR.,Highly unresponsive and unsupportive during exit process.,Get better HRs.,3,Former Employee,Process Executive,"Gurgaon, Haryana",4,5,3,4,4
10-Jun-20,"Company performance, reputation, standards, innovation, culture","Management, reduction in cost, job security",Always take care of associates,3,Current Employee,Accounts Payable Specialist,Hyderābād,1,4,3,2,3
25-May-20,nice work life balance and good environment,salary is a bit satisfactory,,5,Current Employee,Associate Software Engineer,Hyderābād,5,5,5,5,5
26-May-20,Good learning skills .... great opporunities,account specifice there are some issues,,5,Former Employee,Performance Test Engineer,Pune,4,4,4,4,
26-May-20,Good to be honest. Appreciated,Nothing for now as a con,,5,Current Employee,Software Engineer,Chennai,5,5,5,5,5
09-Jun-20,"* You'll get to know how an MNC work.
* You'll get to interact with people.","* Internal Politics within the organization.
* Bad Salary",,2,Former Employee,Programmer Analyst,Hyderābād,2,2,1,1,2
09-Jun-20,"If you are someone who likes to come to office and chill, it's a perfect place for you",Multi cultured environment is almost non existent in Chennai offices and racial preference is a thing for promotions and ratings.,"Please make you management realise that they are part of multi cultured organization and not of a single state run body, promote talent not racism and favourism",2,Former Employee,Programmer Analyst,Chennai,4,1,1,1,1
25-May-20,Good Annual hikes if compared to other Service Companies,Infra is not so good,,4,Former Employee,Associate,Pune,3,4,3,4,4
25-May-20,"Good Work life balance , flexible hours",nothing much to take away,,4,Current Employee,Programmer Analyst,,,,,,
25-May-20,"Good for freshers if you get project early after training , then various opportunities are there for growth and development.",Getting a good project for a Fresher is very difficult.,Please provide more opportunities to a fresher and make them learn new technologies.,4,Former Employee,Associate,Chennai,4,5,4,4,4
25-May-20,"Work-life balance, good team, good environment","Projects won't be that demanding, Zero-knowledge gain",,4,Former Employee,Programmer Analyst Trainee,Coimbatore,5,3,2,4,5
25-May-20,technology must be good one,goodone to be a taken part of,,4,Current Employee,Anonymous Employee,,,,,,
25-May-20,"Stable work environment, good infrastructure,","Bad Management, Lack of growth oppertunities",,4,Current Employee,Instructional Designer,Calcutta,4,5,4,5,2
25-May-20,Good senior junior relationship at the workplace,quality of projects at some particular ODCs,,4,Current Employee,Associate,Calcutta,3,4,3,3,4
26-May-20,"Environment,Package,Cafetaria, Location,Timings.These are so comfort comparatively",So far it is good ..,They are really working on it,4,Current Employee,Software Test Engineer,Chennai,3,4,3,3,3
26-May-20,Work life balance and systematic work culture.,Less incremental growth because of large no of working employees,,4,Former Employee,Senior Consultant,Bangalore,4,3,4,3,2
08-Jun-20,"Transparency, Open work culture, Onshore assignments","Salary, backdated appraisal system(bell curve), typical politics of a large organization.","What I hear recently is that there is an environment of extreme uncertainty in the company regarding the recent operational decisions taken by the management. It is natural that a company would go through thick and thin, but it is extremely important that it handles such situations in the best possible way (politically) to make sure that the brand value and image of the company does not suffer.",3,Former Employee,Senior Associate,Calcutta,3,2,3,3,2
08-Jun-20,Work life balance and timings,Politics and delays in promotions,,3,Current Employee,Program Analyst,Hyderābād,,,,,
09-Jun-20,good work environment and skills development,more work pressure and no recognization,,3,Former Employee,Mapping Analyst,Hyderābād,3,3,3,3,3
09-Jun-20,One of the Industry leader in AI and digital services,Salary revisions are very infrequent,,3,Current Employee,Senior Manager,Bangalore,3,3,2,2,3
08-Jun-20,"Working enviroment is good. 
Nice infrastructure.","Not flexible with leaves .
Not flexible in timings. 9 hours are compulsory even when on bench. It reduces productivity of an employee.
Not good for freshers.",,2,Former Employee,Associate,Pune,2,3,3,2,2
25-May-20,Learnt a lot during my time at cognizant,There is no work-life balance,,4,Current Employee,Product Owner,Hyderābād,2,3,3,3,1
07-Jun-20,Average in every ways. Depends on project. Just like any Service Company,Hardly any growth in career,,3,Current Employee,Technical Product Specialist,Calcutta,3,3,4,3,3
07-Jun-20,Spare Time Available. Plan for future,Resource Management Sucks. Total Management Failure,Only Replacement could work,3,Current Employee,Associate,Pune,5,5,1,1,1
23-May-20,"Great infra with cab support for 24*7, Best part is the Green and relaxing environment.","Nothing noticeable, but career development for employees should be given more attention.",,5,Current Employee,Senior Systems Engineer,,5,5,4,5,4
23-May-20,Good environment. Can learn more from this company.,9 working hours is compulsory,,4,Current Employee,Senior Systems Engineer,,,,,,
23-May-20,Good environment. Can learn more from this company.,9 working hours is compulsory,,4,Current Employee,Senior Systems Engineer,,,,,,
23-May-20,Good Environment. Can learn more from this company.,9 Hours work culture compulsary,,4,Current Employee,Senior Systems Engineer,,3,3,3,2,3
22-May-20,"It entirely depends on the project you are tagged to, but you can learn new technologies if you have a good impression with your manager.",Good in all terms except variable pay,,5,Current Employee,Senior Infra Developer,Chennai,5,5,5,5,5
22-May-20,good to work good to work,not much hikes and promotion,,5,Current Employee,QA Test Analyst,,,,,,
22-May-20,Nice place to work for,They provide less hike always,,5,Current Employee,Team Leader,Coimbatore,2,4,5,3,1
